id;documento
1;O jogo Valorant foi desenvolvido pela Riot Games e mistura tiro tático com habilidades de personagens.
2;A Jett é uma duelista da Coreia do Sul que usa o vento para se movimentar rapidamente pelo mapa.
3;O Phoenix consegue se curar usando suas próprias chamas e possui uma habilidade que cega os inimigos.
4;A Spike é o artefato que os atacantes precisam plantar nas áreas de bomb para vencer a rodada.
5;O agente Omen é um controlador das sombras que consegue se teletransportar para pegar os adversários de surpresa.
6;Sage é uma sentinela da China capaz de curar seus aliados e reviver um companheiro abatido.
7;A arma Vandal elimina o inimigo com apenas um tiro na cabeça independente da distância.
8;A Phantom dispara mais rápido e possui um silenciador que esconde o rastro das balas.
9;O mapa Bind possui portais de teletransporte que permitem mudar de lado rapidamente.
10;A agente Killjoy usa robôs e torretas eletrônicas para defender uma área sozinha.
11;Sova é um iniciador da Rússia que usa flechas de choque e drones de reconhecimento.
12;A ultimate do Brimstone invoca um ataque orbital laser que causa dano massivo em área.
13;Reyna ganha mais poder e cura sua vida toda vez que elimina um oponente no confronto.
14;O mapa Ascent possui portas mecânicas que podem ser ativadas por interruptores para fechar caminhos.
15;A arma Operator é o rifle de precisão mais caro e poderoso de todo o jogo.
16;Cypher espalha fios armadilha e câmeras de vigilância para descobrir a posição do time inimigo.
17;Viper utiliza cortinas de fumaça tóxica e veneno que reduzem temporariamente a vida dos rivais.
18;Raze é uma duelista brasileira que adora usar explosivos pesados e um lança-foguetes devastador.
19;O modo competitivo de Valorant possui várias patentes indo do Ferro até o Radiante.
20;A economia do jogo exige que os jogadores comprem escudos e habilidades no início de cada rodada.
21;O agente Breach usa abalos sísmicos através das paredes para atordoar os oponentes escondidos.
22;O mapa Icebox se passa em uma região congelada e possui tirolesas para movimentação vertical.
23;Skye invoca criaturas da natureza para curar aliados e rastrear a posição dos inimigos pelo mapa.
24;A habilidade de barreira da Neon permite que ela corra em alta velocidade entre raios elétricos.
25;Yoru é um agente japonês especialista em enganar os adversários com sons de passos falsos.
26;O mapa Haven é único porque possui três locais diferentes para plantar a Spike chamados A, B e C.
27;A arma Sheriff é uma pistola pesada muito usada em rodadas de economia por causar grande dano.
28;A agente Fade manipula os pesadelos para revelar os rastros e bloquear a visão dos oponentes.
29;Gekko possui pequenas criaturas de estimação que podem plantar e desarmar a Spike à distância.
30;O Circuito Mundial VCT reúne as melhores equipes do mundo em campeonatos internacionais de esports.